intentservice,3955410
android-input-method,3590260 3644070
auto-registration,3636050
streamreader,537800 856990 1262940 1704060 2386260 2909050 2976340 3095030 3314140 3982020 4122070 4136490 4447690
system-views,3747820
fscheck,2834710
rackspace-cloud,4067460
code-comments,142830 499890 1838390 4356050
email-headers,324980 3562130 4106960 4365850
php-5.3,1128880 2153180 2718820 3162870 3228320 3749430 3893080 3910980 4614800
zigbee,3890480
mlabwrap,1934740
importerror,2864700 3537850 4042430 4572880
opengl-es-lighting,2127770
byval,428750 1050590 1133160
freepascal,124170 693080 750810 1300450 1742900 3209880 3581520 4501090
rails-postgresql,2681620
linktable,1757490
hudson-plugins,3189520 3336470 3514880 3889680 4117050 4438240 4506830
continuous,2232400 2733570 3836620
ubuntu-9.10,1835400 2198260 2248500 2752120 3562420 3950260
code-folding,1085170
f#-scripting,3822090
app-startup,3318130
replication,30660 66040 161890 220340 220890 255680 278320 284860 432900 504110 700770 711070 726830 767560 941720 947350 956340 967280 992990 1040510 1197390 1203260 1232570 1234570 1311520 1313410 1566940 1640610 1913410 1971300 2446480 2605870 2810140 2861500 2883580 2901120 2965910 3211340 3530310 3631660 3940370 3989690 4015470 4252760 4325880 4365840 4523550 4669430
ccnet-config,3198560 3301150
whenever,3654620
noise-words,1265460
sqlclr,58190 493010 1157070 1646980 2193720 2195840 2555060 3008830 3926070 4096350 4097820 4561220 4659060
session-set-save-handler,2595860 4045210
cocoa-design-patterns,1795530 2250350 2521660 3301990 3333810 4157260 4351930
fortran77,676920 691390 1176230 2157920
access-synchronization,2369470
nasm,856050 1551240 1638390 1942690 2794820 3853730 3966790 4638960
mysql-error-1242,377850 1971150
vignette,227500
dialog,45600 180330 269390 318540 607370 682530 696220 702510 809350 809560 880930 932420 990640 1003310 1037920 1210720 1236000 1410300 1411910 1505580 1515800 1539280 1548010 1619750 1674710 1718640 1725810 1799280 1816740 1828010 1852540 1936620 1953910 1970180 2005510 2068300 2075540 2078310 2148730 2162800 2180070 2201460 2295440 2332220 2361840 2433500 2448810 2478090 2487330 2538960 2634850 2649600 2702920 2709700 2725810 2751400 2789490 2796470 2856540 2880020 2938700 2943370 2966690 3008320 3013530 3038130 3057260 3073450 3118350 3170350 3232450 3266780 3321430 3358160 3359510 3442560 3488000 3538470 3583870 3654990 3682210 3700280 3728430 3728990 3826170 3832010 3897070 3969840 3992470 3992820 4034880 4054260 4326080 4346050 4385720 4404610 4464740 4481930 4510360 4527170 4550440 4556330 4630750 4674530 4692740 4713890
recursive-databinding,1295000
flexbuilder,58000 211760 310220 357630 652510 828960 966180 1055040 1227850 1275510 1395860 1402040 1413060 1618410 1869470 1877090 2045970 2051410 2109000 2296410 2423130 2487280 2503580 2507710 2530360 2758010 2760410 2873290 3045410 3094930 3133210 3453450 3669960 3676110 3893060 3935140 4040270 4313290 4690850
cfc,59390 363770 1161620 1261690 2426200 2448680 3097940 4109450 4354680 4694410
anonymous,283870 375390 795180 834590 1937070 2300350 2370200 3381590 4353070
shiro,1663040 1707830 2879750 4595330
beginanimations,3808320
getmethod,217070 1826650 2310160
adpcm,2215930
loki,257030
literals,432230 943350 1362420 1376440 1482050 2241600 2469160 3577610 3632410 3673830 4038130
glteximage2d,679210
overflowexception,2328610 3762060
security-policy,3717540
dfsort,4560960
.net-4.0,883440 990970 998090 1601020 1618040 1626210 1777140 1819740 1843880 1920790 1975500 2046480 2079870 2142220 2265040 2267560 2296120 2306940 2410710 2418050 2419620 2421150 2454400 2454970 2521210 2533430 2546410 2571100 2581920 2600730 2629770 2630910 2631900 2639960 2640410 2649680 2654320 2654450 2657620 2669540 2687370 2724550 2731310 2731410 2737040 2757910 2758350 2761640 2774170 2805840 2809790 2823440 2825660 2851680 2862870 2876630 2923210 2923480 2925760 2956040 2960010 2961130 2977630 2985020 2986440 3004210 3007190 3040250 3050110 3059360 3064150 3065680 3068260 3073750 3077460 3116240 3123680 3131400 3157340 3239320 3246570 3259220 3300890 3318570 3344580 3382860 3409010 3432120 3440490 3454640 3463340 3467200 3472200 3504740 3514740 3533270 3559630 3562260 3573990 3597420 3621930 3655900 3658480 3674650 3675780 3712430 3747130 3748970 3752890 3769140 3771030 3771800 3774920 3787090 3807270 3824780 3848560 3856540 3865310 3896800 3899940 3938520 3944410 3945310 3951450 3975450 3983020 3987100 4008640 4023090 4031820 4032910 4036840 4058570 4061240 4070560 4107300 4120920 4145290 4160020 4181340 4183270 4202940 4211640 4233920 4246350 4267540 4305220 4350550 4358380 4359910 4368320 4410930 4412470 4430940 4444760 4453010 4522590 4548270 4570060 4582680 4589190 4593340 4603560 4610270 4611720 4631710 4655150 4656540 4676750 4682370 4693390 4711090
deque,913070 913980 1436020 4105930
windows-ce,86710 156860 342420 367310 384110 392960 427850 474770 495170 614540 619130 634230 714720 757250 790650 883190 916680 918280 974250 1104950 1128800 1178470 1244160 1366630 1373540 1421100 1456900 1596800 1611750 1687860 1770780 2026410 2030010 2114330 2126110 2192510 2249900 2332070 2394690 2456720 2498460 2640050 2737450 2860240 2871920 2901640 3156960 3200180 3294170 3301270 3368940 3463420 3538150 3546460 3573170 3666320 3822950 3969150 4044760 4090260 4220830 4321940 4325190 4472410 4603890
datarowview,32460
itemplate,1820050 3383240
jmonkeyengine,2393020
insert-update,325990 3510090
abbyy,3204320
video-streaming,608480 907230 1113930 1139990 1425570 1594840 1648670 1712980 2152460 2207110 2229210 2245040 2309120 2409930 2426340 2547940 2578220 2623810 2719270 2963670 3080260 3143140 3186950 3305910 3372820 3431970 3564370 3589780 3613940 3633070 3673650 3675960 3713300 3844430 3884780 3976920 4002490 4008520 4022170 4038390 4256370 4313500 4321550 4450800 4575390 4697470
verbosity,4137980
rmagick,726660 1519580 2139050 2403390 2942210 2949750 3606190 3745080 4018220 4621530
morse-code,4548620
template-toolkit,318090 1416520 2148440 4333940 4445490
rows,783820 1564680 1820310 1871610 2364510 2743060 3422540 3636950 3774140 3939700 4235740 4332240 4475670 4591680
joomla-sef-urls,1713920 3971050
apr,2269030
sim-card,3231980 3491910
silent-post,3365290 3413710
telephony,97920 1075690 2213160 2778740 3106620 4136690 4657140
wpmu,2983480 3324040 4494830
clicktag,2700570 2764930
wpftoolkit,652240 699140 966930 1136200 1156060 1333260 1368140 1370230 1453090 1530640 1579700 1598180 1720340 1724180 1736530 1914580 2075720 2243610 2386010 2452400 2480850 2644540 2742860 2755960 2823170 2920470 2960740 2991220 3227280 3379370 3434050 3550800 3595310 3706630 3788100 3890070 4566200
jmenuitem,4389900
row-value-expression,1841370
page-replacement,765650
web-scraping,260540 1255730 1951440 2122160 2168610 2655970 2895250 3252290 3380230 3682150 3713810 3750090 3756500 3823320 3898660 4026330 4393780 4531490 4560400 4599900 4606460 4672060
xsd.exe,419630 1420930 1638150 1705430 1803300 2247590 2416250 3049510 4199180 4645420
soundmanager2,1529160 2663770 2676110
hidden-markov-models,69930
built-in,2240280
sharding,91710 294170 1158880 2139620 2850400 3645740 3681540
external-sorting,2382820
azimuth,1050950
base32,3193780 3704010
uvw,3246100
cellid,2673140
visualstatemanager,693960 1370230 2621540 3199420 3373980 3520280 3619680 3856780 3907900 3945310 4208010
oracle10g,205160 444820 542340 585090 643280 776720 828830 869390 1206440 1215280 1222570 1246360 1255310 1272990 1275930 1297640 1358490 1360840 1363780 1381630 1446440 1469500 1477580 1490060 1528350 1535320 1636410 1672390 1673270 1699120 1708980 1716590 1727180 1751180 1778510 1795040 1859290 1870670 1985390 2101660 2169720 2201530 2317640 2325390 2346820 2384420 2393760 2406980 2460390 2483140 2501750 2533310 2559110 2766390 2829880 3044440 3197500 3235300 3266270 3267850 3408070 3443360 3457370 3467040 3475210 3512140 3529110 3589760 3627140 3646110 3667320 3672930 3705710 3747080 3772750 3836250 3836570 3863430 3882010 3944840 4144530 4252840 4262060 4273170 4306360 4333650 4464060 4615440 4615470 4668940 4702310 4703040 4711080
fileparsing,1511950
type-inference,373680 463870 472530 886020 944650 1530610 2345140 2677990 2774480 2813650 3202320 3246040 3787960 4323140 4360580 4664930
urlconnection,2026260 2560150 2793150 4345340
pki,578310 1006120 2611570 3215780 3655290 4260600 4471990
cyclic,3191460 4058450 4540600 4541930
amcharts,1648320
robotlegs,2300400 4129180 4227140
esoteric-languages,2601970 2736380
pdf-reader,2253920
graph-algorithm,1810650 4041520 4404410 4444560 4522410
maskedtextbox,1477590 2580550 3197870 4710730
combinatorics,104420 523800 1840560 1867030 2387360 2748330 2944590 3108450 3153620 3442770 3537360 4119730 4573400 4647120 4698630
launcher,2785820 3776030 3835480
generated-code,1127920 3159050 4575180
tsvector,2279050
regex-negation,42990 406230 1333540 1968800 2039140 2161150 2547930 2830320 3643720 3796200 3883970 4313310
logfiles,564950 827930 1827940 1966540 2445960 2727500 2771470 3133400
extensibility,8140 213630 529350 677150 693640 1050220 1485610 1755670 2758200 3495240 3691030 3759390 3876610
blink,4060140
resolution,72010 146480 282580 456250 705960 1351530 1403940 1430250 1462840 1706040 2734970 2902640 3024270 3492160 3842500 3872420 4212720 4251950 4301020 4322440 4653760 4663210
mathjax,796890 3949100 4130060
cadisplaylink,4114930
